tracking_id,sender,recipient,shipment_type,weight_kg,origin,destination,delivery_date
TRK376593,Zalando,CUST1388,Large Parcel,9.58,Brussels,Paris,2025-02-25
TRK351882,Coolblue,CUST4823,Large Parcel,4.18,Amsterdam,Rotterdam,2025-02-25
TRK422924,Bol.com,CUST5988,Small Parcel,8.27,Antwerp,Lille,2025-02-26
TRK415122,eBay,CUST8035,Small Parcel,1.96,Brussels,Liege,2025-02-23
TRK463684,Coolblue,CUST3405,Small Parcel,4.33,Brussels,Namur,2025-02-25
TRK300252,eBay,CUST7615,Large Parcel,105.2,Liege,Cologne,2025-02-21
TRK283416,eBay,CUST3867,Fragile Parcel,2.66,Leuven,Antwerp,2025-02-18
TRK422290,Amazon,CUST9581,Small Parcel,1.04,Berlin,Paris,2025-02-19
TRK236196,Zalando,CUST7394,Small Parcel,3.25,Frankfurt,Brussels,2025-02-19
TRK261666,eBay,CUST1201,Fragile Parcel,7.95,Hamburg,Paris,2025-02-18
TRK167174,Bol.com,CUST4265,Large Parcel,9.52,Rotterdam,Brussels,2025-02-25
TRK423110,Decathlon,CUST3534,Small Parcel,5.12,Lille,Paris,2025-02-21
TRK133919,Coolblue,CUST7167,Small Parcel,6.51,Brussels,Ghent,2025-02-28
TRK148232,AliExpress,CUST6869,Small Parcel,6.5,Paris,Lille,2025-02-22
TRK190244,AliExpress,CUST3932,Small Parcel,3.46,Antwerp,Berlin,2025-02-21
TRK473832,Decathlon,CUST3585,Fragile Parcel,6.29,Cologne,Berlin,2025-02-25
TRK371840,Bol.com,CUST8799,Small Parcel,1.98,Rotterdam,Düsseldorf,2025-02-20
TRK199242,Bol.com,CUST2029,Large Parcel,8.63,Paris,Paris,2025-02-26
TRK310867,Decathlon,CUST6992,Large Parcel,7.77,Brussels,Frankfurt,2025-02-19
TRK214550,Coolblue,CUST4375,Large Parcel,8.04,Amsterdam,Hamburg,2025-02-24
TRK375312,Bol.com,CUST8070,Small Parcel,1.47,Antwerp,Paris,2025-02-24
TRK250990,Coolblue,CUST3378,Small Parcel,9.39,Lille,Cologne,
TRK406449,AliExpress,CUST2364,Fragile Parcel,4.99,Lille,Berlin,2025-02-26
TRK148359,Decathlon,CUST5579,Large Parcel,4.23,Berlin,Lille,2025-02-22
TRK203966,eBay,CUST1207,Large Parcel,6.04,Rotterdam,Frankfurt,2025-02-25
TRK292503,Decathlon,CUST6749,Small Parcel,1.52,Lille,Cologne,2025-02-24
TRK345706,Amazon,CUST1126,Fragile Parcel,8.18,Paris,Paris,2025-02-24
TRK407241,Zalando,CUST3605,Small Parcel,5.43,Brussels,Frankfurt,2025-02-25
TRK249304,Decathlon,CUST2372,Fragile Parcel,3.47,Lille,Antwerp,2025-02-28
TRK390800,Decathlon,CUST8836,Large Parcel,6.9,Rotterdam,Amsterdam,2025-02-27
TRK154832,Amazon,CUST9844,Small Parcel,7.34,Hamburg,Leuven,2025-02-28
TRK476982,eBay,CUST3126,Large Parcel,2.84,Lille,Amsterdam,2025-02-18
TRK348152,Bol.com,CUST3184,Fragile Parcel,6.2,Antwerp,Berlin,2025-02-20
TRK260608,AliExpress,CUST8360,Small Parcel,8.79,Paris,Frankfurt,2025-02-18
TRK323504,eBay,CUST5668,Large Parcel,0.55,Rotterdam,Cologne,2025-02-27
TRK130330,Decathlon,CUST4711,Large Parcel,3.92,Amsterdam,Paris,2025-02-22
TRK218128,Bol.com,CUST8567,Small Parcel,5.88,Cologne,Lille,2025-02-27
TRK277131,Coolblue,CUST6227,Fragile Parcel,3.08,Antwerp,Rotterdam,2025-02-22
TRK333515,Amazon,CUST6884,Fragile Parcel,2.37,Paris,Lille,2025-02-24
TRK156344,eBay,CUST2008,Small Parcel,2.86,Rotterdam,Berlin,2025-02-18
TRK462683,eBay,CUST6274,Small Parcel,5.13,Lille,Paris,2025-02-26
TRK258108,eBay,CUST5211,Large Parcel,2.38,Antwerp,Frankfurt,2025-02-26
TRK126969,Zalando,CUST4316,Small Parcel,4.77,Paris,Cologne,2025-02-26
TRK212597,AliExpress,CUST7753,Small Parcel,3.03,Rotterdam,Berlin,2025-02-18
TRK303448,AliExpress,CUST6710,Fragile Parcel,7.02,Amsterdam,Leuven,2025-02-22
TRK263871,eBay,CUST1357,Small Parcel,7.12,Brussels,Lille,2025-02-20
TRK319800,Coolblue,CUST2828,Large Parcel,8.28,Frankfurt,Hamburg,2025-02-28
TRK203750,Zalando,CUST8366,Large Parcel,5.66,Paris,Rotterdam,2025-02-18
TRK123896,Zalando,CUST2011,Large Parcel,8.32,Berlin,Brussels,2025-02-20
TRK310625,Amazon,CUST1489,Small Parcel,6.24,Cologne,Paris,2025-02-18
TRK147232,Coolblue,CUST6948,Large Parcel,5.07,Lille,Antwerp,2025-02-23
TRK492966,Coolblue,CUST3834,Small Parcel,4.14,Amsterdam,Berlin,2025-02-24
TRK120940,Bol.com,CUST3973,Small Parcel,1.23,Rotterdam,Paris,2025-02-20
TRK273497,Bol.com,CUST6730,Small Parcel,2.97,Lille,Amsterdam,2025-02-23
TRK134875,Amazon,CUST7083,Fragile Parcel,6.4,Berlin,Cologne,2025-02-25
TRK457851,Zalando,CUST4740,Fragile Parcel,6.38,Rotterdam,Berlin,2025-02-21
TRK217411,Zalando,CUST7662,Small Parcel,3.85,Paris,Brussels,2025-02-27
TRK354541,AliExpress,CUST5255,Large Parcel,8.46,Leuven,Paris,2025-02-27
TRK347357,Amazon,CUST6676,Small Parcel,2.32,Cologne,Rotterdam,2025-02-22
TRK426345,Zalando,CUST4767,Large Parcel,4.02,Frankfurt,Hamburg,2025-02-18
TRK347412,Amazon,CUST2111,Large Parcel,3.57,Berlin,Rotterdam,2025-02-21
TRK279331,AliExpress,CUST8083,Large Parcel,2.6,Amsterdam,Cologne,2025-02-25
TRK387781,AliExpress,CUST5041,Large Parcel,8.37,Paris,Antwerp,2025-02-24
TRK282920,Coolblue,CUST2738,Small Parcel,0.57,Rotterdam,Berlin,2025-02-28
TRK320935,eBay,CUST7004,Small Parcel,8.32,Brussels,Rotterdam,2025-02-21
TRK280193,Zalando,CUST9643,Fragile Parcel,1.32,Lille,Brussels,2025-02-28
TRK266190,Coolblue,CUST3648,Small Parcel,5.06,Amsterdam,Paris,2025-02-19
TRK479722,Coolblue,CUST3311,Large Parcel,2.48,Cologne,Rotterdam,2025-02-21
TRK295036,Decathlon,CUST9248,Small Parcel,4.47,Antwerp,Leuven,2025-02-19
